text,level,conf,height
,1,-1.0,843
,2,-1.0,105
,3,-1.0,105
,4,-1.0,105
new,5,14.694305,67
,2,-1.0,505
,3,-1.0,505
,4,-1.0,505
 ,5,95.0,505
,2,-1.0,633
,3,-1.0,633
,4,-1.0,633
LD,5,31.237778,105
aa,5,23.692696,201
a,5,40.434151,32
,2,-1.0,535
,3,-1.0,535
,4,-1.0,535
   ,5,95.0,535
,2,-1.0,384
,3,-1.0,384
,4,-1.0,384
SELF,5,96.815338,106
Knowledge,5,96.169212,258
,2,-1.0,224
,3,-1.0,224
,4,-1.0,224
Kundalini,5,95.681023,144
Yoga,5,95.681023,71
,2,-1.0,231
,3,-1.0,231
,4,-1.0,231
as,5,96.719788,19
taught,5,96.427399,58
by,5,96.70845,20
Yogi,5,93.295753,37
Bhajan*,5,48.892517,70
,2,-1.0,565
,3,-1.0,565
,4,-1.0,565
 ,5,95.0,565
,2,-1.0,0
,3,-1.0,0
,4,-1.0,0
 ,5,95.0,0
,2,-1.0,614
,3,-1.0,614
,4,-1.0,614
 ,5,95.0,614
