text,level,conf,height
,1,-1.0,842
,2,-1.0,67
,3,-1.0,67
,4,-1.0,67
ZEC,5,89.097931,34
SHARIA,5,0.0,67
SITCHIN,5,95.292259,33
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Of,5,53.629917,15
The,5,31.658524,14
2th,5,0.0,13
Plans,5,42.433983,15
,2,-1.0,153
,3,-1.0,153
,4,-1.0,35
zl,5,0.0,33
m,5,6.122833,8
A,5,93.353447,28
,4,-1.0,56
Wy,5,39.20649,46
IViL,5,0.0,56
,4,-1.0,13
y,5,0.0,4
),5,52.592335,13
|,5,69.16169,9
,4,-1.0,35
!,5,0.0,9
?,5,41.187218,9
J,5,84.22049,10
ney,5,32.238472,31
,2,-1.0,323
,3,-1.0,323
,4,-1.0,323
 ,5,95.0,323
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Ube,5,27.837059,13
Sixth,5,90.849152,12
Doak,5,63.717316,13
of,5,63.626858,13
Ue,5,42.874187,20
orth,5,31.422798,17
Ohroieters,5,0.0,28
