text,level,conf,height
,1,-1.0,842
,2,-1.0,30
,3,-1.0,30
,4,-1.0,11
RECOMMENDED,5,96.591263,11
BY,5,95.895111,11
TOP,5,96.84343,11
PRODUCT,5,95.621254,11
MANAGEMENT,5,96.172379,11
EXECUTIVES.,5,71.022156,11
,4,-1.0,12
FROM,5,96.892937,11
"GOOGLE,",5,96.524025,12
"AMAZON,",5,96.785667,12
"MICROSOFT,",5,96.737045,12
ORACLE,5,96.554916,11
AND,5,96.54911,11
VMWARE,5,96.345039,11
,2,-1.0,113
,3,-1.0,113
,4,-1.0,113
DECODE,5,91.275635,113
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
AND,5,96.763924,30
,2,-1.0,120
,3,-1.0,120
,4,-1.0,120
CONQUER,5,96.583206,120
,2,-1.0,75
,3,-1.0,75
,4,-1.0,31
ANSWERS,5,96.781845,31
TO,5,56.358032,31
,4,-1.0,31
PRODUCT,5,96.327057,31
MANAGEMENT,5,96.696953,31
INTERVIEWS,5,96.73864,31
,2,-1.0,154
,3,-1.0,154
,4,-1.0,154
pp,5,57.055073,154
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
LEWIS,5,74.833374,37
CG],5,23.216316,37
LIN,5,23.216316,35
