text,level,conf,height
,1,-1.0,666
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
I,5,14.859604,16
La,5,41.386723,29
,2,-1.0,55
,3,-1.0,55
,4,-1.0,55
Flutter,5,96.826645,55
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
for,5,96.90937,34
Beginners,5,96.360733,42
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Second,5,94.972298,12
Edition,5,96.100288,12
,2,-1.0,313
,3,-1.0,313
,4,-1.0,64
 ,5,95.0,64
,4,-1.0,105
 ,5,95.0,105
,4,-1.0,67
  ,5,95.0,67
,4,-1.0,77
   ,5,95.0,77
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,29
,3,-1.0,29
,4,-1.0,12
An,5,82.737091,9
introductory,5,95.090744,12
guide,5,96.687263,12
to,5,96.794479,8
building,5,95.860764,12
cross-platform,5,96.599274,12
mobile,5,95.368462,9
applications,5,86.663155,12
,4,-1.0,9
with,5,96.810471,9
Flutter,5,96.719498,9
2.5,5,96.167702,9
and,5,95.203835,9
Dart,5,95.203835,9
,2,-1.0,34
,3,-1.0,34
,4,-1.0,18
Thomas,5,96.307648,14
Bailey,5,96.357597,18
|,5,96.983017,18
Alessandro,5,93.28801,14
Biessek,5,93.156891,14
,4,-1.0,12
Foreword,5,94.541824,8
by,5,96.707748,30
Trevor,5,96.665993,11
"Wills,",5,73.517166,11
Managing,5,96.836182,11
"Director,",5,78.384407,10
Life,5,70.011665,30
Ninja,5,96.402313,11
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
IV,5,80.227234,38
