text,level,conf,height
,1,-1.0,738
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
~*,5,0.0,47
+.,5,33.95504,3
CharuC,5,54.407368,31
Aggarwal,5,53.104362,28
*,5,35.115448,3
,2,-1.0,412
,3,-1.0,412
,4,-1.0,412
   ,5,95.0,412
,2,-1.0,204
,3,-1.0,204
,4,-1.0,204
Machine,5,96.678345,80
eteaing,5,20.59787,204
,2,-1.0,165
,3,-1.0,165
,4,-1.0,165
{fo,5,44.998722,165
,2,-1.0,738
,3,-1.0,738
,4,-1.0,738
 ,5,95.0,738
,2,-1.0,75
,3,-1.0,75
,4,-1.0,39
oR,5,5.873642,26
Dpringer,5,22.347702,29
,4,-1.0,26
bee:,5,13.701973,21
 :,5,0.0,19
:,5,33.270454,2
=,5,46.708302,15
