text,level,conf,height
,1,-1.0,1200
,2,-1.0,87
,3,-1.0,87
,4,-1.0,87
 ,5,95.0,87
,2,-1.0,89
,3,-1.0,89
,4,-1.0,37
e,5,66.924324,30
Origins,5,95.486885,37
of,5,95.486885,26
"LIFE,",5,96.079025,23
"MEANING,",5,96.009193,24
,4,-1.0,35
*.,5,11.136086,27
",and",5,38.477211,35
the,5,95.298958,20
UNIVERSE,5,95.23114,21
ITSELF,5,92.294632,21
,2,-1.0,35
,3,-1.0,35
,4,-1.0,35
-,5,0.0,35
,2,-1.0,438
,3,-1.0,438
,4,-1.0,438
   ,5,95.0,438
,2,-1.0,120
,3,-1.0,120
,4,-1.0,120
 ,5,95.0,120
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
<,5,0.0,7
,2,-1.0,86
,3,-1.0,86
,4,-1.0,86
PICTURE,5,94.50602,86
,4,-1.0,35
i,5,68.396545,5
ec,5,19.791679,24
S,5,0.0,25
ip,5,38.868176,23
8,5,58.968956,32
few,5,49.608421,35
,2,-1.0,99
,3,-1.0,89
,4,-1.0,17
Author,5,96.678078,12
of,5,96.800987,17
THE,5,96.299217,12
PARTICLE,5,96.274216,12
AT,5,95.573807,12
THE,5,96.24057,12
END,5,96.485558,12
OF,5,95.119324,12
THE,5,95.119324,12
UNIVERSE,5,96.323532,12
,4,-1.0,23
=,5,38.922661,10
5,5,67.675247,22
,4,-1.0,48
SEAN,5,96.212013,48
CARROLL,5,87.729233,48
,4,-1.0,30
we,5,0.0,30
*,5,0.0,3
a,5,43.953308,9
J,5,52.886421,7
”,5,0.0,9
,2,-1.0,52
,3,-1.0,52
,4,-1.0,17
“Carroll,5,91.229233,13
is,5,91.229233,12
a,5,89.64875,9
surefooted,5,89.64875,13
guide,5,96.530563,17
through,5,96.530563,17
some,5,95.196289,9
of,5,96.819023,13
the,5,96.819023,13
,4,-1.0,16
most,5,96.742874,10
perplexing,5,96.457329,16
and,5,93.730988,12
fascinating,5,96.862801,16
insights,5,95.086472,16
of,5,96.924515,12
modern,5,96.92601,12
physics.”,5,95.941055,16
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
—BRIAN,5,91.279388,14
GREENE,5,96.731537,15
